expression,sentence,label,label_2,,,,,,,
הוריד פרופיל,"בעקבות אשפוז פסיכיאטרי, הצבא הוריד לו את הפרופיל לארבעים וחמש.",מילולי,0,,,,,,,
הוריד פרופיל,הבן שלי אמר לי שהורידו לו פרופיל זמני עד להשלמת הבדיקות הרפואיות.,מילולי,0,,,,,,,
הוריד פרופיל,הוא עבר וועדה רפואית שדנה באפשרות להורדת פרופיל.,מילולי,0,,,,,,,
הוריד פרופיל,"בצה""ל קיבל הורדת פרופיל רפואי לארבעים וחמש.",מילולי,0,,,,,,,
הוריד פרופיל,הרופא קבע שיש להוריד את הפרופיל בעקבות בעיית גב.,מילולי,0,,,,,,,
הוריד פרופיל,החייל הוריד פרופיל בטופס בקשה לשיבוץ מחדש.,מילולי,0,,,,,,,
הוריד פרופיל,"בקורס לוחמה, חייל אחד הוריד פרופיל מסיבות אישיות.",מילולי,0,,,,,,,
הוריד פרופיל,הוא הוריד פרופיל כדי לעבור ליחידה עורפית.,מילולי,0,,,,,,,
הוריד פרופיל,"בעקבות בעיית עיניים, הורידו לו פרופיל לשישים וארבע.",מילולי,0,,,,,,,
הוריד פרופיל,המערכת הורידה לו את הפרופיל הרפואי לאחר הפציעה.,מילולי,0,,,,,,,
הוריד פרופיל,הגבר הוריד פרופיל מתשעים ושבע לשמונים ושתיים אחרי אבחנה חדשה.,מילולי,0,,,,,,,
הוריד פרופיל,"בעקבות בעיות נפשיות,הרופאים בקשו להוריד לו את הפרופיל.",מילולי,0,,,,,,,
הוריד פרופיל,הגשתי טופס בקשה להורדת פרופיל צבאי.,מילולי,0,,,,,,,
חתך פינה,הקבלן חתך פינה במהלך עבודות השיפוץ וגרם לנזק רציני לכל הפרוייקט.,פיגורטיבי,1,,,,,,,
חתך פינה,הוא חתך פינה בעבודה במהלך פרוייקט וזה התגלה מהר מאוד על ידי המנהל שלו.,פיגורטיבי,1,,,,,,,
חתך פינה,הקבלנים חתכנו פינות במהלך העבודה כי לא היה תקציב מספיק.,פיגורטיבי,1,,,,,,,
חתך פינה,"כשהוא עובד לבד ולא בצוות, הוא תמיד חותך פינות ואז התוצאה הסופית פחות טובה.",פיגורטיבי,1,,,,,,,
חתך פינה,היא חתכה פינה בזמן הכנת המצגת וזה עלה לה בביקורת קשה על ההצגה שלה.,פיגורטיבי,1,,,,,,,
חתך פינה,הבוס חתך פינה ולא ביקש את האישורים התקציביים הנדרשים לתחילת הפרוייקט.,פיגורטיבי,1,,,,,,,
חתך פינה,כל מי שחותך פינה בסוף משלם ביוקר.,פיגורטיבי,1,,,,,,,
חתך פינה,היא חתכה פינה בזמן הכנת העבודת גמר כדי להגיש בזמן.,פיגורטיבי,1,,,,,,,
חתך פינה,הם חתכו פינה בזמן הכנת הפרוייקט וזה התפוצץ להם בפנים בהמשך בציון הסופי.,פיגורטיבי,1,,,,,,,
חתך פינה,אסור לחתוך פינות כשמדובר בבטיחות.,פיגורטיבי,1,,,,,,,
חתך פינה,הוא חתך פינה בתחקיר וגרם לכתבה מלאה בטעויות.,פיגורטיבי,1,,,,,,,
חתך פינה,"כדי לחסוך בזמן, היא חתכה פינה ופספסה פרטים קריטיים במילוי דוח תאונה שלה.",פיגורטיבי,1,,,,,,,
חתך פינה,חתכנו פינה בעריכת הסרט וזה הורגש היטב בצפייה ובביקורות של הצופים.,פיגורטיבי,1,,,,,,,
חתך פינה,המהנדס חתך פינה בתכנון והמבנה יצא לא יציב.,פיגורטיבי,1,,,,,,,
חתך פינה,"כשהמורה לא בדקה כמו שצריך, אפשר לומר שהיא חתכה פינה כדי להקל על עצמה.",פיגורטיבי,1,,,,,,,
חתך פינה,הרץ חתך פינה במסלול והקדים את כולם לקו הסיום.,מילולי,0,,,,,,,
חתך פינה,הילדים חתכו פינה דרך החצר של השכנים וחטפו צעקות מהם כי נכנסו לשטח שלהם.,מילולי,0,,,,,,,
חתך פינה,היא חתכה פינה בפארק בשביל להספיק לאוטובוס.,מילולי,0,,,,,,,
חתך פינה,הכלב קפץ מעל הגדר וחתך פינה לעבר השביל.,מילולי,0,,,,,,,
חתך פינה,האופנוען חתך פינה במהירות ונפל בעיקול החד.,מילולי,0,,,,,,,
חתך פינה,הוא רץ מהר במסלול ריצה וחתך פינה כדי לקצר דרך.,מילולי,0,,,,,,,
חתך פינה,חתכתי פינה בין הרחובות והגעתי ראשון לפני חברי לקבוצה.,מילולי,0,,,,,,,
חתך פינה,הילדים רצו הביתה וחתכו פינה בשביל על הדשא בשביל לא להכעיס את אמא.,מילולי,0,,,,,,,
חתך פינה,הילד רכב באופניים וחתך פינה חדה ונפל מהאופניים.,מילולי,0,,,,,,,
חתך פינה,הרכב חתך פינה כאשר ניסה לקצר והתנגש במדרכה.,מילולי,0,,,,,,,
חתך פינה,הכלב חתך פינה ורץ לשער הצדדי כאשר ברח מהכלב של השכן.,מילולי,0,,,,,,,
חתך פינה,ההולך רגל חתך פינה בפארק כדי להגיע מהר יותר לצד השני.,מילולי,0,,,,,,,
חתך פינה,הנגר חתך פינה של העץ במהלך הכנה של השולחן והרס את הפרוייקט.,מילולי,0,,,,,,,
חתך פינה,הנווט הציע לחתוך פינה במסלול הניווט.,מילולי,0,,,,,,,
חתך פינה,האינסטלטור חתך פינה בידית של האסלה וזה מה שסידר את התקלה,מילולי,0,,,,,,,
הלך בין טיפות,"הוא הלך בין הטיפות בכל הקשור למחלוקת בין שני חבריו הטובים, בלי לקחת צד.",פיגורטיבי,1,,,,,,,
הלך בין טיפות,היא יודעת בדיוק איך ללכת בין הטיפות בלי להסתבך עם אף אחד.,פיגורטיבי,1,,,,,,,
הלך בין טיפות,המנהל הלך בין הטיפות בין העובדים שלא סובלים אחד את השני.,פיגורטיבי,1,,,,,,,
הלך בין טיפות,הלכתי בין הטיפות בניסיון להימנע ממעורבות רגשית כי זה נושא שאני רגיש אליו.,פיגורטיבי,1,,,,,,,
הלך בין טיפות,הוא הלך בין הטיפות והצליח לשמור על קשר עם שני הצדדים.,פיגורטיבי,1,,,,,,,
הלך בין טיפות,היא הלכה בין הטיפות בנושא הרגיש הזה כדי לא לפגוע באף אחד מהצדדים.,פיגורטיבי,1,,,,,,,
הלך בין טיפות,הבעל הלך בין הטיפות במהלך השיחה הטעונה כדי לא לעורר כעסים מאשתו.,פיגורטיבי,1,,,,,,,
הלך בין טיפות,הלכתי בין הטיפות בקמפיין בחירות הזה כדי לא לאבד קולות של מצביעים שונים.,פיגורטיבי,1,,,,,,,
הלך בין טיפות,המורה הלכה בין הטיפות כשניסתה להסביר את דעתה בזהירות להורים של תלמידה.,פיגורטיבי,1,,,,,,,
הלך בין טיפות,הוא מומחה בללכת בין הטיפות מבלי שיבחינו בו בכלל.,פיגורטיבי,1,,,,,,,
הלך בין טיפות,הוא הלך בין הטיפות במשרד ולא הביע עמדה בשום נושא למרות החוסר הסכמות שהיו.,פיגורטיבי,1,,,,,,,
הלך בין טיפות,היא יודעת להתחמק מביקורת ותמיד הולכת בין הטיפות כמו אמנית.,פיגורטיבי,1,,,,,,,
הלך בין טיפות,"בפרויקט המורכב, הוא הלך בין הטיפות בין ההנהלה לעובדים והצליח לגשר ולהצליח למרות הכל.",פיגורטיבי,1,,,,,,,
הלך בין טיפות,הלכתי בין הטיפות בדיון המשפחתי כדי לא להכעיס את ההורים.,פיגורטיבי,1,,,,,,,
הלך בין טיפות,המנכ”ל הלך בין הטיפות בתקשורת והתחמק משאלות קשות בלי לענות באמת.,פיגורטיבי,1,,,,,,,
הלך בין טיפות,הלכתי בין הטיפות בזהירות כדי לא להרטיב את נעלי הבד שלי.,מילולי,0,,,,,,,
הלך בין טיפות,הוא יצא מהאוטובוס וניסה ללכת בין הטיפות עד הבית.,מילולי,0,,,,,,,
הלך בין טיפות,הילדים שיחקו ברחוב והלכו בין הטיפות עם מטריות מקופלות.,מילולי,0,,,,,,,
הלך בין טיפות,ניסיתי ללכת בין הטיפות בלי להחליק על הרצפה החלקה.,מילולי,0,,,,,,,
הלך בין טיפות,היא ירדה מהמונית והלכה בין הטיפות עד הכניסה לבית הספר.,מילולי,0,,,,,,,
הלך בין טיפות,יצאנו לגשם בלי מטריה והיינו חייבים לנסות ללכת בין הטיפות.,מילולי,0,,,,,,,
הלך בין טיפות,הילד הקטן הלך בין הטיפות כדי לא להירטב לגמרי.,מילולי,0,,,,,,,
הלך בין טיפות,הלכתי בין הטיפות בשביל לא להחליק על המדרכה.,מילולי,0,,,,,,,
הלך בין טיפות,היא הלכה בין הטיפות בדרך הביתה מהלימודים.,מילולי,0,,,,,,,
הלך בין טיפות,נזהרתי וניסיתי ללכת בין הטיפות כדי לא להרוס את הבגדים.,מילולי,0,,,,,,,
הלך בין טיפות,הם הלכו בין הטיפות לכיוון האוטובוס עם תיקי הלימודים.,מילולי,0,,,,,,,
הלך בין טיפות,"הכלב רץ בגשם ואני אחריו, מנסה לרוץ בין הטיפות.",מילולי,0,,,,,,,
הלך בין טיפות,הלכתי בין הטיפות לאט כדי לא לשבור את הטלפון שעלול להירטב.,מילולי,0,,,,,,,
הלך בין טיפות,היא הלכה בין הטיפות בנעליים פתוחות.,מילולי,0,,,,,,,
הלך בין טיפות,הוא יצא מהקניון והלך בין הטיפות עד שחזר לרכב.,מילולי,0,,,,,,,
הרים גבה,הוא הרים גבה כששמע את ההצעה עם המחיר המוגזם לדירה שהוא רוצה לקנות.,פיגורטיבי,1,,,,,,,
הרים גבה,כולם הרימו גבה כשהיא הופיעה בשמלה לבנה בחתונה של מישהי אחרת.,פיגורטיבי,1,,,,,,,
הרים גבה,הרמתי גבה כששמעתי שהוא מונה למנהל הראשי בעבודה שלי.,פיגורטיבי,1,,,,,,,
הרים גבה,היא הרימה גבה למשמע התשובה שלו על טענה שהוא שיקר.,פיגורטיבי,1,,,,,,,
הרים גבה,המנהל הרים גבה כששמע כמה כסף זה יעלה הפרויקט החדש.,פיגורטיבי,1,,,,,,,
הרים גבה,הקהל הרים גבה כששמע על השינוי במדיניות המשחקי כדורגל של ליגה ראשית.,פיגורטיבי,1,,,,,,,
הרים גבה,גם אני הרמתי גבה למשמע ההחלטה ההזויה לגבי חוק הגיוס.,פיגורטיבי,1,,,,,,,
הרים גבה,הוא הרים גבה כשהבחין בלבוש הבלתי צפוי והמוגזם שלה להלוויה.,פיגורטיבי,1,,,,,,,
הרים גבה,הילד הרים גבה כאשר שמע מה המורה עשתה באמצע השיעור מול תלמידים אחרים.,פיגורטיבי,1,,,,,,,
הרים גבה,"חבר שלי הרים גבה באירוניה, כאילו לא האמין לסיפור שסיפרתי לו.",פיגורטיבי,1,,,,,,,
הרים גבה,היא הרימה גבה כשהבינה שהוא שוב שכח את יום ההולדת שלה.,פיגורטיבי,1,,,,,,,
הרים גבה,המורה הרים גבה כשראה את התשובה המוזרה במבחן.,פיגורטיבי,1,,,,,,,
הרים גבה,כולם הרימו גבה כששמעו שהזמר עובר לקריירת פוליטיקה למרות ההצלחה האדירה שלו במוזיקה.,פיגורטיבי,1,,,,,,,
הרים גבה,הוא הרים גבה כשהבוס שיבח את העובד הכי עצלן במשרד.,פיגורטיבי,1,,,,,,,
הרים גבה,חברי הקבוצה הרימו גבה כשבחרו דווקא אותו להוביל את המצגת.,פיגורטיבי,1,,,,,,,
הרים גבה,הילדה הרימה גבה כשראתה את הפרפר נוחת על ידה.,מילולי,0,,,,,,,
הרים גבה,הוא הרים גבה וניסה להביט מעבר לגדר הגבוהה.,מילולי,0,,,,,,,
הרים גבה,"בזמן ההתעמלות במראה, היא הרימה גבה אחת וצחקה.",מילולי,0,,,,,,,
הרים גבה,הוא הרים גבה מתוך הרגל בזמן שצייר פורטרט עצמי.,מילולי,0,,,,,,,
הרים גבה,הילד הרים גבה כששאל שאלה מבלבלת את סבתו.,מילולי,0,,,,,,,
הרים גבה,הוא הרים גבה מתוך סקרנות כששמע רעש מהחדר.,מילולי,0,,,,,,,
הרים גבה,הילד הרים גבה כשצילמתי אותו כדי לעשות תנוחה מצחיקה.,מילולי,0,,,,,,,
הרים גבה,התלמידה הרימה גבה כדי להדגיש את תגובתה במשחק תיאטרון.,מילולי,0,,,,,,,
הרים גבה,חבר שלי הרים גבה ונראה מופתע בהבעת הפנים שלו.,מילולי,0,,,,,,,
הרים גבה,אשתי הרימה גבה תוך כדי מריחת איפור כדי שיהיה לה יותר קל לעשות זאת.,מילולי,0,,,,,,,
הרים גבה,הוא הרים גבה כשניסה לחקות את דמות הסרט שראה פעם בטלויזיה.,מילולי,0,,,,,,,
הרים גבה,הילדה הרימה גבה אחת ונשארה עם השנייה ישרה כדי להצחיק את חברתה.,מילולי,0,,,,,,,
הרים גבה,הרים גבה מול הראי וחשב איך זה נראה מול אנשים אחרים.,מילולי,0,,,,,,,
הרים גבה,היא הרימה גבה תוך כדי הרכבת משקפיים כי ככה היא רגילה.,מילולי,0,,,,,,,
הרים גבה,הוא הרים גבה והציץ מעבר לשולחן.,מילולי,0,,,,,,,
שבר את הכלים,הוא שבר את הכלים ועזב את העבודה ביום אחד בגלל היחס של המנהל שלו כלפיו.,פיגורטיבי,1,,,,,,,
שבר את הכלים,"אחרי שנים של סבל, היא שברה את הכלים והתפטרה מהממשלה.",פיגורטיבי,1,,,,,,,
שבר את הכלים,שברנו את הכלים  ועשינו משהו לא חוקי כי לא רצינו לשחק יותר לפי הכללים.,פיגורטיבי,1,,,,,,,
שבר את הכלים,היא שברה את הכלים וביטלה את האירוסין בגלל אי הסכמות עם בן זוגה.,פיגורטיבי,1,,,,,,,
שבר את הכלים,חבר שלי שבר את הכלים כשפרסם את ההתכתבויות הפרטיות שלנו בפומבי.,פיגורטיבי,1,,,,,,,
שבר את הכלים,הוא שבר את הכלים בזה שהלך בפתאומיות ועזב את ההסכם ולא טרח להסביר אפילו.,פיגורטיבי,1,,,,,,,
שבר את הכלים,שברתי את הכלים כשלא הקשיבו לי שוב ופשוט עשיתי משהו בניגוד למדיניות המנהל.,פיגורטיבי,1,,,,,,,
שבר את הכלים,הילדה שברה את הכלים והודיעה להורים שהיא עוזבת את הדירה שלהם ועוברת לדירה משלה.,פיגורטיבי,1,,,,,,,
שבר את הכלים,שברו את הכלים – כל אחד הלך לדרכו.,פיגורטיבי,1,,,,,,,
שבר את הכלים,הוא פשוט שבר את הכלים והפסיק לשתף פעולה במחשק מחשב ולשחק לפי החוקים.,פיגורטיבי,1,,,,,,,
שבר את הכלים,"אחרי שנים של שתיקה, היא שברה את הכלים ופרסמה את כל מה שעבר עליה למרות הזוועות.",פיגורטיבי,1,,,,,,,
שבר את הכלים,הוא שבר את הכלים ויצא מהישיבה בלי לומר מילה כשהבוס העיר לו בפומבי בצורה לא יפה.,פיגורטיבי,1,,,,,,,
שבר את הכלים,שברתי את הכלים עם המשקיעים כשהבנתי שהם רק מעכבים אותי ומורכים אותי.,פיגורטיבי,1,,,,,,,
שבר את הכלים,היא שברה את הכלים וסירבה לחתום על חוזה שהיה נראה לה לא הוגן.,פיגורטיבי,1,,,,,,,
שבר את הכלים,הם שברו את הכלים ועברו לעבוד עצמאית אחרי שלא קיבלו העלאה שהובטחה להם.,פיגורטיבי,1,,,,,,,
שבר את הכלים,הילד שיחק עם הכדור בבית ושבר את הכלים בסלון.,מילולי,0,,,,,,,
שבר את הכלים,היא ניסתה להוריד מגש מהמדף הגבוה ושברה את הכלים שהיו עליו.,מילולי,0,,,,,,,
שבר את הכלים,הוא נכנס למטבח בחיפזון והפיל את המגש ואז כל הכלים נשברו.,מילולי,0,,,,,,,
שבר את הכלים,בזמן ההובלה נפל אחד הארגזים ושבר את הכלים שהכינו לחתונה.,מילולי,0,,,,,,,
שבר את הכלים,הכלבה קפצה על השולחן בחג וגרמה לשבירת הכלים היפים של סבתא.,מילולי,0,,,,,,,
שבר את הכלים,הילד שיחק במטבח ושבר את הכלים של אמא.,מילולי,0,,,,,,,
שבר את הכלים,הכלב קפץ על השולחן ושבר את הכלים שהונחו עליו.,מילולי,0,,,,,,,
שבר את הכלים,החתולה נפלה על המדף ושברה את כל הצלחות שעמדו עליו.,מילולי,0,,,,,,,
שבר את הכלים,הרוח הפילה את המגש ושברה את הכלים.,מילולי,0,,,,,,,
שבר את הכלים,הוא הוריד את הסלסלה בכוח מהמדף ושבר את הכלים שבתוכה.,מילולי,0,,,,,,,
שבר את הכלים,במהלך הארוחה הוא הזיז את המרפק ושבר את הכלים בטעות.,מילולי,0,,,,,,,
שבר את הכלים,"הילד סובב את המפה, הפיל ושבר את הכלים שעמדו על המפה.",מילולי,0,,,,,,,
שבר את הכלים,היא הזיזה את השולחן בטעות ושברה את הכלים בטעות שעמדו עליו.,מילולי,0,,,,,,,
שבר את הכלים,החבילה נפלה מהמדרגות ושברה את כל הכלים שהוזמנו שהיו בתוך הקופסא.,מילולי,0,,,,,,,
שבר את הכלים,הפועלים הזיזו את הארון ושברו את הכלים שעמדו על הארון.,מילולי,0,,,,,,,
סגר חשבון,הוא חיכה להזדמנות וסגר איתו חשבון אחרי שנים של שתיקה על הבגידה בעסק המשפחתי.,פיגורטיבי,1,,,,,,,
סגר חשבון,היא סגרה חשבון עם העבר כשהתעמתה עם אימה על וויכוח ארוך שנים.,פיגורטיבי,1,,,,,,,
סגר חשבון,הוא כתב פוסט וסגר חשבון עם כל מי שפגע בו כשהיה ילד קטן.,פיגורטיבי,1,,,,,,,
סגר חשבון,סגרנו חשבון אחד עם השני בתחרות גלישה ההיא אחרי שנים של עימותים.,פיגורטיבי,1,,,,,,,
סגר חשבון,היא סגרה חשבון עם מערכת החינוך שזלזלה בה.,פיגורטיבי,1,,,,,,,
סגר חשבון,שיחה אחת הספיקה כדי לסגור איתו חשבון על הוויכוח הישן שלנו.,פיגורטיבי,1,,,,,,,
סגר חשבון,חבר שלי סגר חשבון עם חבר לשעבר שהפיץ עליו שקרים ברשתות החברתיות.,פיגורטיבי,1,,,,,,,
סגר חשבון,השיר החדש שלו הוא דרך לסגור חשבון עם כל המבקרים שאמרו והפיצו ביקורות שליליות.,פיגורטיבי,1,,,,,,,
סגר חשבון,העובד החדש סגר חשבון עם הבוס לשעבר בפוסט חריף שפירסם עליו.,פיגורטיבי,1,,,,,,,
סגר חשבון,הסרט הזה סוגר חשבון עם החברה שדחתה אותו כשלא רצתה לפרסם אותו.,פיגורטיבי,1,,,,,,,
סגר חשבון,"אחרי כל ההשפלות שעבר, הוא חזר לעיירה הקטנה כדי לסגור חשבון עם כולם.",פיגורטיבי,1,,,,,,,
סגר חשבון,היא סגרה חשבון עם העבר כשהוציאה ספר על ילדותה המורכבת.,פיגורטיבי,1,,,,,,,
סגר חשבון,הסרט האחרון שלו מרגיש כמו ניסיון לסגור חשבון עם אביו שנטש אותו.,פיגורטיבי,1,,,,,,,
סגר חשבון,הוא ניצל את ההרצאה האחרונה בקורס כדי לסגור חשבון עם המרצה.,פיגורטיבי,1,,,,,,,
סגר חשבון,סגרתי חשבון עם עצמי כשביקשתי סליחה מכל מי שפגעתי בו בעבר בבית הספר.,פיגורטיבי,1,,,,,,,
סגר חשבון,הם סגרו חשבון הבוקר בבנק כדי לעבור לבנק אחר עם עמלות נמוכות יותר.,מילולי,0,,,,,,,
סגר חשבון,היא נכנסה לאתר והגישה בקשה לסגור את החשבון האישי שלה.,מילולי,0,,,,,,,
סגר חשבון,סגרתי את החשבון שלי באינסטגרם כדי להתנתק מהרשתות החברתיות.,מילולי,0,,,,,,,
סגר חשבון,הוא סגר את החשבון העסקי כשעבר לעבוד כשכיר.,מילולי,0,,,,,,,
סגר חשבון,הילדים עזרו לסבתא לסגור את החשבון הדיגיטלי שלה שלא הייתה יודעת לנהל.,מילולי,0,,,,,,,
סגר חשבון,ניגשתי לבנק וסגרתי את החשבון הישן שלי.,מילולי,0,,,,,,,
סגר חשבון,היא סגרה את החשבון שלה באפליקציה כי לא הייתה מרוצה מהשירות לקוחות שבו.,מילולי,0,,,,,,,
סגר חשבון,אבא שלו סגר חשבון בבנק אחרי שפתח לו אחד חדש.,מילולי,0,,,,,,,
סגר חשבון,"הילד ביקש לסגור את החשבון הפרטי שלו לפני המעבר לחו""ל כחלק מהעבודה החדשה.",מילולי,0,,,,,,,
סגר חשבון,בני הזוג הנשואים סגרו את החשבון המשותף לאחר הגירושים.,מילולי,0,,,,,,,
סגר חשבון,סגרנו את החשבון של העסק כשפשט את הרגל אחרי כשלון ומצב כלכלי קשה.,מילולי,0,,,,,,,
סגר חשבון,הוא נכנס לסניף כדי לסגור את החשבון הפיקטיבי שהיה לו.,מילולי,0,,,,,,,
סגר חשבון,המנהלת ביקשה לסגור את החשבון הפנימי של האדם שהורשע כפושע.,מילולי,0,,,,,,,
סגר חשבון,אבא סגר חשבון ביחד עם ההנהלה של הבנק לטובת חיסכון של הילד כדי לממן לו טיול.,מילולי,0,,,,,,,
סגר חשבון,היא ביקשה לסגור את החשבון באתר שלהם בגלל אבטחת מידע.,מילולי,0,,,,,,,
שם רגליים,הוא כל הזמן שם לי רגליים בעבודה כדי להכשיל אותי שלא אצליח לעמוד בתאריכי יעד שלי.,פיגורטיבי,1,,,,,,,
שם רגליים,שמים לה רגליים בקבוצת כדורסל רק כי היא מצליחה יותר מכולם ומנסים להכשיל אותה.,פיגורטיבי,1,,,,,,,
שם רגליים,המתחרים שמו לו רגליים כשהבינו שהוא טוב מהם.,פיגורטיבי,1,,,,,,,
שם רגליים,היא שמה לו רגליים כי קינאה בא וביופי שלה.,פיגורטיבי,1,,,,,,,
שם רגליים,"שים לו רגליים, זה מה שכולם עושים פה כדי לקבל הטבות ולהתקדם.",פיגורטיבי,1,,,,,,,
שם רגליים,הוא לא קיבל את התפקיד הנחשק בחברה כי מישהו אחר שם לו רגליים.,פיגורטיבי,1,,,,,,,
שם רגליים,שמו לנו רגליים בכל שלב בפרויקט ובגלל זה הוא לא עמד בזמנים.,פיגורטיבי,1,,,,,,,
שם רגליים,"הוא חושב שכולם שמים לו רגליים, גם כשזה לא נכון וכל הזמן מתלונן על זה למנהל שלו.",פיגורטיבי,1,,,,,,,
שם רגליים,המנהל לשעבר שם לו רגליים כדי שלא יתקדם ויעקוף אותו בדרגה בעבודה.,פיגורטיבי,1,,,,,,,
שם רגליים,לפעמים שמים לך רגליים רק כדי לבדוק איך תתמודד עם הלחץ והכשלון.,פיגורטיבי,1,,,,,,,
שם רגליים,"למרות שהבטיח לעזור לי, הוא שם לי רגליים בדיוק כשזה היה חשוב.",פיגורטיבי,1,,,,,,,
שם רגליים,היא שמה רגליים לפרויקט רק כי לא רצתה שהוא יצליח בלעדיה.,פיגורטיבי,1,,,,,,,
שם רגליים,הוא תמיד שם רגליים לאחרים כשהוא מרגיש מאוים מהמעמד שלהם.,פיגורטיבי,1,,,,,,,
שם רגליים,"ניסיתי לקדם רעיון חדש, אבל שמו לי רגליים מאחורי הגב בלי שאדע.",פיגורטיבי,1,,,,,,,
שם רגליים,"ברגע שהבינה שהיא לא בתמונה, היא שמה רגליים לצוות ונטשה.",פיגורטיבי,1,,,,,,,
שם רגליים,הוא שם את הרגליים על המעקה ונשען אחורה בנחת.,מילולי,0,,,,,,,
שם רגליים,הילד הקטן שם רגליים בכיור כדי לשטוף אותם לבד.,מילולי,0,,,,,,,
שם רגליים,היא שמה רגליים בחול ונשענה על העץ בצד הים.,מילולי,0,,,,,,,
שם רגליים,הוא שכב על הדשא ושם רגליים על התיק בתור כרית.,מילולי,0,,,,,,,
שם רגליים,הילדה שמה רגליים על הברכיים של אבא שלה כדי שירים אותה באוויר.,מילולי,0,,,,,,,
שם רגליים,הילד שם רגליים על השולחן והתבקש להוריד אותן מהמורה בכיתה.,מילולי,0,,,,,,,
שם רגליים,היא שמה רגליים על הספסל והתמתחה בשקט כאשר נחה לה ברחוב.,מילולי,0,,,,,,,
שם רגליים,"שים רגליים כמו שצריך, אל תישען לאחור.",מילולי,0,,,,,,,
שם רגליים,הוא שם רגליים על הקיר והשאיר סימנים מהנעליים שלו.,מילולי,0,,,,,,,
שם רגליים,שמתי רגליים זו על זו כדי לנוח לי בשקט במיטה.,מילולי,0,,,,,,,
שם רגליים,הילדה שמה רגליים באוויר כשהתנדנדה על הנדנדה.,מילולי,0,,,,,,,
שם רגליים,הגבר שכב על המיטה ושם את הרגליים בתנוחה הכי נוחה לו לקראת שינה.,מילולי,0,,,,,,,
שם רגליים,היא שמה רגליים על הכיסא והקשיבה למוזיקה.,מילולי,0,,,,,,,
שם רגליים,הילדה שמה את הרגליים שלה במקלחת כי בחוץ התלכלה בבוץ שקפצה בתוכו.,מילולי,0,,,,,,,
שם רגליים,הוא שם רגליים על השולחן ושתה קפה.,מילולי,0,,,,,,,
הוריד את הכפפות,הוא הוריד את הכפפות והתחיל לתקוף בעוצמה במהלך וויכוח שהתפתח באמצע יום עבודה.,פיגורטיבי,1,,,,,,,
הוריד את הכפפות,היא הורידה את הכפפות ולא חסכה במילים כאשר חברתה הטובה פגעה בא מאוד.,פיגורטיבי,1,,,,,,,
הוריד את הכפפות,"ברגע שהוריד את הכפפות, כולם הבינו שהוא לא בא לשחק משחקים.",פיגורטיבי,1,,,,,,,
הוריד את הכפפות,הבחור הוריד את הכפפות והתמודד עם האמת המרה ונלחם במי שצריך.,פיגורטיבי,1,,,,,,,
הוריד את הכפפות,הורדנו את הכפפות והלכנו ראש בראש בלי לחשוב על ההשלכות בעימות שלנו בבית משפט.,פיגורטיבי,1,,,,,,,
הוריד את הכפפות,"כשהיא הורידה את הכפפות, לא נשאר מקום לספק שהיא רצינית ובאה לנצח בתחרות הזאת.",פיגורטיבי,1,,,,,,,
הוריד את הכפפות,הוא הוריד את הכפפות בדיון מול המנהל והביע את דעתו בצורה קיצונית אבל מדוייקת.,פיגורטיבי,1,,,,,,,
הוריד את הכפפות,הורידה את הכפפות והציבה לו גבולות ברורים לגבי המשך הקשר ביניהם בצורה מאוד ברורה.,פיגורטיבי,1,,,,,,,
הוריד את הכפפות,גורם ממשלה הוריד את הכפפות מול התקשורת ולא התבייש לפרסם כל דבר שמפריע לו.,פיגורטיבי,1,,,,,,,
הוריד את הכפפות,הורדנו את הכפפות כי נמאס לנו לשתוק ולהתעלם מההעלבות שלו.,פיגורטיבי,1,,,,,,,
הוריד את הכפפות,"עד עכשיו הוא נזהר בדבריו, אבל ברגע האמת הוריד את הכפפות וירה לכל הכיוונים בשיח עוקצני.",פיגורטיבי,1,,,,,,,
הוריד את הכפפות,"כשהביקורת חרגה מגבול הטעם הטוב, היא הורידה את הכפפות והחזירה אש.",פיגורטיבי,1,,,,,,,
הוריד את הכפפות,"אחרי חודשים של איפוק, המנכ”ל הוריד את הכפפות ודרש שינויים מיידיים מהעובדים שלא היו מספיק טובים.",פיגורטיבי,1,,,,,,,
הוריד את הכפפות,"בדיון הסוער בוועדה, הוא ויתר על הנימוס והוריד את הכפפות בלי למצמץ.",פיגורטיבי,1,,,,,,,
הוריד את הכפפות,"הקמפיין התחיל רגוע, אבל מהר מאוד כולם הורידו את הכפפות והתחיל קרב אמיתי בין המועמדים.",פיגורטיבי,1,,,,,,,
הוריד את הכפפות,הוא הוריד את כפפות העבודה ושפשף את ידיו העייפות מהשיפוץ הארוך.,מילולי,0,,,,,,,
הוריד את הכפפות,הגנן סיים לשתול את השתילים והסיר את הכפפות המלאות באדמה לחה.,מילולי,0,,,,,,,
הוריד את הכפפות,היא הורידה את הכפפות בזהירות כדי לא ללכלך את החלוק הנקי.,מילולי,0,,,,,,,
הוריד את הכפפות,"הילדה חזרה מהחצר, הורידה את הכפפות הצמריות והניחה אותן לייבוש על הרדיאטור.",מילולי,0,,,,,,,
הוריד את הכפפות,"הנהג עצר בצד הדרך, הוריד את הכפפות וניגב את הזיעה מהמצח.",מילולי,0,,,,,,,
